country,year,robot_density
KOR,2010,347
KOR,2015,531
KOR,2020,855
KOR,2023,1012
JPN,2010,308
JPN,2015,305
JPN,2020,364
JPN,2023,419
CHN,2010,68
CHN,2015,49
CHN,2020,246
CHN,2023,470
DEU,2010,261
DEU,2015,309
DEU,2020,371
DEU,2023,415
USA,2010,176
USA,2015,189
USA,2020,255
USA,2023,285
FRA,2010,122
FRA,2015,132
FRA,2020,177
FRA,2023,194
ITA,2010,159
ITA,2015,185
ITA,2020,224
ITA,2023,241
ESP,2010,136
ESP,2015,152
ESP,2020,191
ESP,2023,209
NLD,2010,84
NLD,2015,92
NLD,2020,110
NLD,2023,125
CAN,2010,121
CAN,2015,130
CAN,2020,165
CAN,2023,180
MEX,2010,33
MEX,2015,36
MEX,2020,47
MEX,2023,55
IND,2010,3
IND,2015,3
IND,2020,4
IND,2023,5
BRA,2010,10
BRA,2015,11
BRA,2020,13
BRA,2023,15
TUR,2010,14
TUR,2015,18
TUR,2020,26
TUR,2023,33
SGP,2010,220
SGP,2015,398
SGP,2020,605
SGP,2023,730